Title,Price,Bedrooms,Location,URL,Apartment_Name
9/292brBuffalo,1200.0,2.0,9/292brBuffalo,https://buffalo.craigslist.org/apa/d/buffalo-upper-available-month/7874373091.html,Unnamed - 9/292brBuffalo
Seneca,850.0,1.0,9/291brWest Seneca,https://buffalo.craigslist.org/apa/d/buffalo-upper-rear-apartment-imediately/7881205082.html,Unnamed - 9/291brWest Seneca
9/292brCheektowaga,1110.0,2.0,9/292brCheektowaga,https://buffalo.craigslist.org/apa/d/buffalo-55-community-with-resort-style/7881613325.html,Unnamed - 9/292brCheektowaga
Falls,945.0,2.0,9/292brNiagara Falls,https://buffalo.craigslist.org/apa/d/niagara-falls-spacious-bedroom/7884994784.html,Unnamed - 9/292brNiagara Falls
NY,1575.0,2.0,9/292brAmherst NY,https://buffalo.craigslist.org/apa/d/buffalo-beautiful-town-house-on-denrose/7884996481.html,Unnamed - 9/292brAmherst NY
NY,1214.0,2.0,"9/292br1710 Calumet Ave, Niagara Falls, NY",https://buffalo.craigslist.org/apa/d/niagara-falls-patio-or-balcony-air/7884984389.html,"Apartment at 9/292br1710 Calumet Ave, Niagara Falls, NY"
DT!,1635.0,2.0,9/292brDelaware Ave District-Close to Medical Campus and DT!,https://buffalo.craigslist.org/apa/d/buffalo-victorian-charm-at-the-windsor/7880188354.html,Unnamed - 9/292brDelaware Ave District-Close to Medical Campus and DT!
DT!,2315.0,2.0,9/292brDelaware District-Close to Medical Campus and DT!,https://buffalo.craigslist.org/apa/d/buffalo-unique-25-multi-level-loft-unit/7878465759.html,Unnamed - 9/292brDelaware District-Close to Medical Campus and DT!
DT!,1830.0,1.0,9/291brMain St District-Close to Medical Campus and DT!,https://buffalo.craigslist.org/apa/d/buffalo-unique-bedroom-at-nickle-city/7879918896.html,Unnamed - 9/291brMain St District-Close to Medical Campus and DT!
St,1200.0,3.0,9/293brLandon St,https://buffalo.craigslist.org/apa/d/buffalo-bedroom-lower-convenient/7875691699.html,Unnamed - 9/293brLandon St
Falls,850.0,1.0,9/291brNiagara Falls,https://buffalo.craigslist.org/apa/d/niagara-falls-850-1br-best-bedroom/7884973716.html,Unnamed - 9/291brNiagara Falls
Village,1050.0,1.0,9/291brHamburg Village,https://buffalo.craigslist.org/apa/d/hamburg-very-nice-bedroom-201-main-st/7884135801.html,Unnamed - 9/291brHamburg Village
DT!,1635.0,2.0,9/292brDelaware District-Close to Medical Campus and DT!,https://buffalo.craigslist.org/apa/d/buffalo-victorian-charm-at-the-windsor/7884970783.html,Unnamed - 9/292brDelaware District-Close to Medical Campus and DT!
buffalo,1400.0,4.0,9/294brSouth buffalo,https://buffalo.craigslist.org/apa/d/buffalo-whole-house/7884956240.html,Unnamed - 9/294brSouth buffalo
9/292brTonawanda,1295.0,2.0,9/292brTonawanda,https://buffalo.craigslist.org/apa/d/buffalo-bed-apt-with-amenities-on/7884949946.html,Unnamed - 9/292brTonawanda
9/293brTonawanda,1335.0,3.0,9/293brTonawanda,https://buffalo.craigslist.org/apa/d/buffalo-updated-duplex-with-driveway-in/7884948770.html,Unnamed - 9/293brTonawanda
9/291brBuffalo,1200.0,1.0,9/291brBuffalo,https://buffalo.craigslist.org/apa/d/buffalo-cozy-1bed-on-hertel-ave/7884379632.html,Unnamed - 9/291brBuffalo
9/292brBuffalo,1300.0,2.0,9/292brBuffalo,https://buffalo.craigslist.org/apa/d/buffalo-beautiful-bedroom-bathroom/7884939588.html,Unnamed - 9/292brBuffalo
9/282brBuffalo,1300.0,2.0,9/282brBuffalo,https://buffalo.craigslist.org/apa/d/buffalo-upper-available-month/7884869993.html,Unnamed - 9/282brBuffalo
Lewiston,2000.0,1.0,9/281brVillage of Lewiston,https://buffalo.craigslist.org/apa/d/lewiston-sweet-historic-3bdrm-home/7880756869.html,Unnamed - 9/281brVillage of Lewiston
9/283br,1500.0,3.0,9/283br,https://buffalo.craigslist.org/apa/d/buffalo-blum-lower/7884825461.html,Unnamed - 9/283br
NY,1600.0,2.0,"9/282brBuffalo, NY",https://buffalo.craigslist.org/apa/d/buffalo-newly-renovated-bedroom/7878218985.html,"Unnamed - 9/282brBuffalo, NY"
9/282brBuffalo,900.0,2.0,9/282brBuffalo,https://buffalo.craigslist.org/apa/d/buffalo-apt-2nd-fl-for-rent/7884769669.html,Unnamed - 9/282brBuffalo
9/283brHertel,1650.0,3.0,9/283brHertel,https://buffalo.craigslist.org/apa/d/buffalo-hertel-area-bedroom-bath-off/7884765509.html,Unnamed - 9/283brHertel
9/281brLockport,1100.0,1.0,9/281brLockport,https://buffalo.craigslist.org/apa/d/lockport-one-bedroom-apartment/7882237459.html,Unnamed - 9/281brLockport
ago2brTonawanda,1295.0,2.0,<1hr ago2brTonawanda,https://buffalo.craigslist.org/apa/d/buffalo-bed-apt-with-amenities-on/7885321195.html,Unnamed - <1hr ago2brTonawanda
ago3brTonawanda,1335.0,3.0,Tonawanda,https://buffalo.craigslist.org/apa/d/buffalo-updated-duplex-with-driveway-in/7885318144.html,Unnamed - Tonawanda
ago3br,1800.0,3.0,,https://buffalo.craigslist.org/apa/d/buffalo-43-park-ave-floor-buffalo-ny/7885312778.html,Unnamed - 
RD,995.0,2.0,6347 Robinson RD,https://buffalo.craigslist.org/apa/d/2br-all-utilities-except-electric/7885283671.html,Apartment at 6347 Robinson RD
District,1500.0,2.0,Delaware District,https://buffalo.craigslist.org/apa/d/buffalo-gorgeous-bed-apartment-on/7885285386.html,Unnamed - Delaware District
ago2brAmherst,1430.0,2.0,Amherst,https://buffalo.craigslist.org/apa/d/buffalo-2nd-month-free-special-on-huge/7885277475.html,Unnamed - Amherst
ago2brAmherst,1730.0,2.0,Amherst,https://buffalo.craigslist.org/apa/d/buffalo-senior-apartment-available-now/7885276290.html,Unnamed - Amherst
Richmond,1350.0,2.0,626 Richmond,https://buffalo.craigslist.org/apa/d/buffalo-elmwood-village/7875375227.html,Apartment at 626 Richmond
St....,1485.0,2.0,Heart of Village of Williamsville! Steps to Main St....,https://buffalo.craigslist.org/apa/d/buffalo-wonderful-views-at-glen-park/7883295121.html,Unnamed - Heart of Village of Williamsville! Steps to Main St....
NY,1228.0,2.0,"3100 9th St, Niagara Falls, NY",https://buffalo.craigslist.org/apa/d/niagara-falls-bd-washer-dryer-hookup/7885235900.html,"Apartment at 3100 9th St, Niagara Falls, NY"
NY,1407.0,3.0,"3100 9th St, Niagara Falls, NY",https://buffalo.craigslist.org/apa/d/niagara-falls-community-laundry-suites/7885226147.html,"Apartment at 3100 9th St, Niagara Falls, NY"
ago1brEllicottville,1200.0,1.0,Ellicottville,https://buffalo.craigslist.org/apa/d/ellicottville-bed-bath-newly-built/7885211179.html,Unnamed - Ellicottville
DT!,1199.0,2.0,Delaware District-Close to Medical Campus and DT!,https://buffalo.craigslist.org/apa/d/buffalo-terrific-bedroom-available-now/7876963039.html,Unnamed - Delaware District-Close to Medical Campus and DT!
Houirly,1.0,,🌟Flat Rates-Not Houirly,https://buffalo.craigslist.org/apa/d/buffalo-for-rent-absolute-best/7882898776.html,Unnamed - 🌟Flat Rates-Not Houirly
ago3brBuffalo,1300.0,3.0,Buffalo,https://buffalo.craigslist.org/apa/d/buffalo-3bdrm-bathroom-apt-for-rent/7885201020.html,Unnamed - Buffalo
NY,1214.0,2.0,"9/302br1710 Calumet Ave, Niagara Falls, NY",https://buffalo.craigslist.org/apa/d/niagara-falls-2bd-15ba-spacious-closets/7883804290.html,"Apartment at 9/302br1710 Calumet Ave, Niagara Falls, NY"
NY,1228.0,2.0,"9/302br3100 9th St, Niagara Falls, NY",https://buffalo.craigslist.org/apa/d/niagara-falls-bd-walking-distance-to/7884172024.html,"Apartment at 9/302br3100 9th St, Niagara Falls, NY"
NY,900.0,2.0,"9/292brBuffalo, NY",https://buffalo.craigslist.org/apa/d/buffalo-160-hagen-street-lower-two/7881727228.html,"Unnamed - 9/292brBuffalo, NY"
9/293br,2150.0,3.0,9/293br,https://buffalo.craigslist.org/apa/d/east-aurora-village-of-east-aurora-one/7879212348.html,Unnamed - 9/293br
DT,1144.0,1.0,9/291brHeart of Elmwood Village- Close to Area Colleges + DT,https://buffalo.craigslist.org/apa/d/buffalo-cozy-bedroom-now-available-on/7880469733.html,Unnamed - 9/291brHeart of Elmwood Village- Close to Area Colleges + DT
DT!,1695.0,1.0,9/291brDelaware District-Close to Medical Campus and DT!,https://buffalo.craigslist.org/apa/d/buffalo-unique-bedroom-at-nickle-city/7881611872.html,Unnamed - 9/291brDelaware District-Close to Medical Campus and DT!
DT,1635.0,2.0,9/292brHeart of Elmwood Village- Close to Area Colleges + DT,https://buffalo.craigslist.org/apa/d/buffalo-victorian-charm-at-the-windsor/7878532733.html,Unnamed - 9/292brHeart of Elmwood Village- Close to Area Colleges + DT
9/292brTonawanda,1385.0,2.0,9/292brTonawanda,https://buffalo.craigslist.org/apa/d/tonawanda-huge-bed-apt-with-amenities/7885087919.html,Unnamed - 9/292brTonawanda
9/292brAmherst,1585.0,2.0,9/292brAmherst,https://buffalo.craigslist.org/apa/d/buffalo-bed-apartment-with-amenities-in/7885086111.html,Unnamed - 9/292brAmherst
9/291brLancaster,1065.0,1.0,9/291brLancaster,https://buffalo.craigslist.org/apa/d/depew-bedroom-first-floor-unit-in-the/7880037988.html,Unnamed - 9/291brLancaster
9/29Kenmore,915.0,,9/29Kenmore,https://buffalo.craigslist.org/apa/d/buffalo-studio-apartment-in-kenmore/7880298675.html,Unnamed - 9/29Kenmore
9/291br,1350.0,1.0,9/291br,https://buffalo.craigslist.org/apa/d/buffalo-all-new-construction-charming/7885073476.html,Unnamed - 9/291br
9/291brAmherst,1136.0,1.0,9/291brAmherst,https://buffalo.craigslist.org/apa/d/buffalo-laundry-facilities/7885065168.html,Unnamed - 9/291brAmherst
9/293brAMHERST,1600.0,3.0,9/293brAMHERST,https://buffalo.craigslist.org/apa/d/north-tonawanda-ub-north-sweethome/7885052256.html,Unnamed - 9/293brAMHERST
9/291brWilliamsville,1100.0,1.0,9/291brWilliamsville,https://buffalo.craigslist.org/apa/d/buffalo-nice-lower-bedroom-apartment/7885058031.html,Unnamed - 9/291brWilliamsville
NY,1200.0,1.0,9/291brAmherst NY,https://buffalo.craigslist.org/apa/d/buffalo-beautiful-apartment-off-of/7885048089.html,Unnamed - 9/291brAmherst NY
9/292brAmherst,1363.0,2.0,9/292brAmherst,https://buffalo.craigslist.org/apa/d/buffalo-pets-welcome-incredible/7885018472.html,Unnamed - 9/292brAmherst
9/292brbuffalo,1350.0,2.0,9/292brbuffalo,https://buffalo.craigslist.org/apa/d/buffalo-north-buffalo-parkside/7874373810.html,Unnamed - 9/292brbuffalo
Village,1150.0,2.0,9/292brElmwood Village,https://buffalo.craigslist.org/apa/d/buffalo-elmwood-village-close-to-buff/7874374418.html,Unnamed - 9/292brElmwood Village
Village,1300.0,2.0,9/292brElmwood Village,https://buffalo.craigslist.org/apa/d/buffalo-two-bedroom-apartment-for-rent/7882681356.html,Unnamed - 9/292brElmwood Village
9/292brBuffalo,900.0,2.0,9/292brBuffalo,https://buffalo.craigslist.org/apa/d/buffalo-beautiful-bedroom-apt/7885006894.html,Unnamed - 9/292brBuffalo
Falls,999.0,1.0,9/291brNiagara Falls,https://buffalo.craigslist.org/apa/d/niagara-falls-1br-spacious-bed-apt-with/7884984555.html,Unnamed - 9/291brNiagara Falls
Falls,875.0,,9/29Niagara Falls,https://buffalo.craigslist.org/apa/d/niagara-falls-875-studio-apt-ideally/7884988557.html,Unnamed - 9/29Niagara Falls
