Source,Title,Address,URL,Price,Beds,price_min,price_max,beds_min,beds_max
apartments.com,The Ingleside Apartments,"70 Harvard Pl, Buffalo, NY 14209",https://www.apartments.com/the-ingleside-apartments-buffalo-ny/4zc5s2j/,"$1,350 - $2,398",1-2 Beds,1350.0,2398.0,1.0,2.0
apartments.com,East Morris Avenue Apartments,"35 E Morris Ave, Buffalo, NY 14214",https://www.apartments.com/east-morris-avenue-apartments-buffalo-ny/bfqxq1b/,"$1,392 - $1,672",1-2 Beds,1392.0,1672.0,1.0,2.0
apartments.com,The Phoenix Brewery Apartments,"835 Washington St, Buffalo, NY 14203",https://www.apartments.com/the-phoenix-brewery-apartments-buffalo-ny/vbvmc9g/,"$1,650",1-2 Beds,1650.0,1650.0,1.0,2.0
apartments.com,Avia Lofts at Maple Road,"100 Maple Rd, Buffalo, NY 14221",https://www.apartments.com/avia-lofts-at-maple-road-buffalo-ny/hd0s8t0/,"$1,352 - $1,817",Studio - 2 Beds,1352.0,1817.0,0.0,2.0
apartments.com,Mid City Apartments,"1665 Main St, Buffalo, NY 14209",https://www.apartments.com/mid-city-apartments-buffalo-ny/nf0c72m/,"$1,675",1-2 Beds,1675.0,1675.0,1.0,2.0
apartments.com,Campus Walk One,"639 Grant St, Buffalo, NY 14213",https://www.apartments.com/campus-walk-one-buffalo-ny/c6x4ytf/,"$755 - $1,050",2-4 Beds,755.0,1050.0,2.0,4.0
apartments.com,Collegiate Village,"6 Affinity Ln, Buffalo, NY 14215",https://www.apartments.com/collegiate-village-buffalo-ny/92w7q24/,"$680 - $1,958",Studio - 4 Beds,680.0,1958.0,0.0,4.0
apartments.com,Garden Village,"70 Garden Village Dr, Buffalo, NY 14227",https://www.apartments.com/garden-village-buffalo-ny/340fhle/,"$1,175 - $1,405",2 Beds,1175.0,1405.0,2.0,2.0
apartments.com,Pierce Arrow Lofts,"1695 Elmwood Ave, Buffalo, NY 14207",https://www.apartments.com/pierce-arrow-lofts-buffalo-ny/egh6tzp/,"$1,100 - $3,200",Studio - 4 Beds,1100.0,3200.0,0.0,4.0
apartments.com,Idylwood Resort Apartment Homes,"101 Slate Creek Dr, Buffalo, NY 14227",https://www.apartments.com/idylwood-resort-apartment-homes-buffalo-ny/q5czecw/,"$975 - $2,218",1-2 Beds,975.0,2218.0,1.0,2.0
